FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,1.766666667,1.2,W,L,W,L,L,W,0.6,-0.1666666667,0.2333333333,-8
NH,0.5666666667,1.266666667,D,L,L,L,D,L,-1.166666667,-0.2333333333,0,6
H,1.4,0.9333333333,L,W,D,D,L,D,0.5,-0.1333333333,0.03333333333,-7
H,0.8,1.133333333,D,D,D,W,W,D,-0.7333333333,-0.4666666667,-0.2333333333,-2
H,1.612903226,2.258064516,D,W,D,W,D,W,0.6129032258,1.580645161,-0.1612903226,3
NH,0.8709677419,1.322580645,D,L,W,W,D,W,-0.5161290323,0.09677419355,-0.09677419355,12
NH,1.548387097,1.516129032,W,D,L,W,D,W,0.2258064516,0.1935483871,-0.1290322581,4
NH,1.129032258,1.032258065,L,L,L,L,D,L,-0.09677419355,-0.4193548387,-0.03225806452,-4
H,1.35483871,1.451612903,L,D,D,L,L,W,-0.09677419355,-0.06451612903,0,10
NH,1.419354839,1.580645161,L,W,W,W,L,W,-0.09677419355,0.2580645161,0.09677419355,-3
H,1.322580645,1.451612903,W,D,W,L,L,W,0.09677419355,-0.06451612903,0.06451612903,-2
NH,1.322580645,1.129032258,W,D,W,L,L,L,0.09677419355,-0.09677419355,0.1290322581,-3
NH,1.129032258,1.451612903,D,W,W,W,L,W,-0.4516129032,0.5161290323,0.09677419355,11
H,1.516129032,1.419354839,W,D,W,L,W,W,0.1935483871,-0.09677419355,-0.09677419355,-12
NH,1.40625,0.84375,L,L,L,W,L,D,-0.09375,-0.71875,0,-6
H,1.09375,0.84375,W,L,D,L,D,L,-0.34375,-0.5625,0.09375,-5
NH,0.96875,1.5,L,W,D,L,W,D,-0.125,0.15625,0,5
NH,1.625,1.5625,W,W,L,L,D,W,0.34375,0.5625,0.21875,14
H,2.1875,1.40625,L,W,D,W,L,D,1.46875,-0.03125,0,-17
H,1.21875,0.5625,L,W,L,L,D,D,-0.125,-1.125,0.125,-7
NH,0.84375,1.78125,L,D,L,W,D,W,-0.5625,0.625,-0.1875,16
H,0.5625,1.40625,L,D,D,W,L,D,-1.125,-0.03125,-0.1875,-1
NH,1.5625,1.5625,L,D,W,W,W,D,0.5625,0.25,-0.1875,1
NH,1.78125,0.96875,W,D,W,L,W,D,0.625,-0.125,0.15625,-10
H,1.363636364,1.151515152,D,W,W,W,W,L,0.1212121212,-0.2727272727,0.1212121212,-7
